Post,id,likes_count,from_id,from_name,message,created_time,type,link,story,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count
71,635054059945646_1521485701302473,2739,6.35E+14,Black Panther,"Join the celebration and enter the Marvel Studios Ultimate Fan sweepstakes. Post your favorite Black Panther memory or your own personal photo with #Marvel10YearSweepstakes & #BlackPanther for a chance to win a trip to the Marvel Studios' Avengers: Infinity War premiere, Marvel Studios' Captain Marvel set visit, and more! Rules: www.marvel.com/10YearSweepstakes",2018-02-15T22:00:23+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1521485701302473/?type=3,NA,107,215,463,1,45,1,2
72,635054059945646_1522269521224091,4084,6.35E+14,Black Panther,"Marvel Studios' ""Black Panther"" is NOW PLAYING. Get tickets: www.fandango.com/blackpanther",2018-02-16T16:29:05+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1522269521224091/,NA,205,1333,1322,7,87,1,2
73,635054059945646_1522565507861159,1853,6.35E+14,Black Panther,"Maria Beltre flaunts her #WakandaStyle. What are you wearing to see Marvel Studios' ""Black Panther""? Share your photos using the hashtag.",2018-02-16T22:59:53+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1522565507861159/?type=3,NA,60,76,211,5,32,0,2
74,635054059945646_1522606814523695,2390,6.35E+14,Black Panther,"Wakanda Forever. Download the new Marvel Studios' ""Black Panther"" iOS stickers from the App Store now:",2018-02-17T00:00:01+0000,link,http://itunes.apple.com/app/id1340511186,NA,105,152,387,12,31,0,3
75,635054059945646_1522886497829060,4953,6.35E+14,Black Panther,"The Black Panther lives! Experience Wakanda specially formatted in IMAX. Marvel Studios' ""Black Panther"" is now playing in theaters!",2018-02-17T17:00:01+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1522886497829060/,NA,233,1430,1390,10,112,0,2
76,635054059945646_1523426324441744,3573,6.35E+14,Black Panther,"Welcome to Wakanda. See Marvel Studios' ""Black Panther"" in theaters NOW: www.fandango.com/blackpanther",2018-02-17T19:00:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1523426324441744/?type=3,NA,170,317,810,6,79,1,3
77,635054059945646_1523432904441086,5651,6.35E+14,Black Panther,"Wakanda Forever! Check out this awesome #BlackPantherFanArt, and share your own fan art using the hashtag. #BlackPanther",2018-02-17T19:30:00+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1523432011107842/?type=3,NA,173,1082,1381,9,152,0,3
78,635054059945646_1523922587725451,8682,6.35E+14,Black Panther,"Marvel Studios' ""Black Panther"" is the #1 movie in the world. Have you seen it yet? Get tickets: www.fandango.com/blackpanther",2018-02-18T19:00:01+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1523922587725451/,NA,550,2556,3425,17,200,4,2
79,635054059945646_1524666900984353,2864,6.35E+14,Black Panther,"Benny Harlem shows us his #WakandaStyle for the opening weekend of Marvel Studios' ""Black Panther."" Share your look using the hashtag!",2018-02-18T22:00:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1524666900984353/?type=3,NA,165,318,495,71,214,0,2
80,635054059945646_1525568750894168,9447,6.35E+14,Black Panther,"The cast of Marvel Studios' ""Black Panther"" looked like royalty at the South African premiere!",2018-02-19T21:00:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1525568367560873/?type=3,NA,186,784,2823,11,145,2,3
81,635054059945646_1526623657455344,7636,6.35E+14,Black Panther,"Wakanda Forever. Marvel Studios' ""Black Panther"" is the #1 movie in the world! Which character was your favorite?",2018-02-20T19:30:02+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1526623657455344/?type=3,NA,653,1345,2592,16,142,3,5
82,635054059945646_1526722194112157,4088,6.35E+14,Black Panther,"ìYou are not alone in this fight."" Get tickets: www.fandango.com/blackpanther #BlackPanther",2018-02-20T22:00:00+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1526722194112157/,NA,174,666,1260,4,68,0,4
83,635054059945646_1526841207433589,13133,6.35E+14,Black Panther,Wakanda Forever. #BlackPanther,2018-02-21T01:00:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1526841207433589/?type=3,NA,528,4080,6046,9,190,1,2
84,635054059945646_1527597240691319,4192,6.35E+14,Black Panther,"Marvel Studios' ""Black Panther"" is the #1 movie in the world. Tag a friend you saw the film with!",2018-02-21T19:00:01+0000,photo,https://www.facebook.com/BlackPantherMovie/photos/a.959302734187442.1073741828.635054059945646/1527597240691319/?type=3,NA,465,502,1004,24,47,1,3
85,635054059945646_1528554723928904,4435,6.35E+14,Black Panther,"Marvel Studios' ""Black Panther"" is the #1 movie in the world. See the film critics call ìa game changerî: www.fandango.com/blackpanther",2018-02-22T18:00:01+0000,video,https://www.facebook.com/BlackPantherMovie/videos/1528554723928904/,NA,188,873,1133,5,85,1,3
